			 			12252
Technische Universität München, Garching			Technische Universität München			3
Technische Universität München, Theresienstraíe 90, 80333 Munich, Germany			Technische Universität München			3
Technische Universität, Braunschweig, Germany			 			3
Technischen Universität Darmstadt, Darmstadt, Germany			 			3
Technological Education Institute of Kavala			 			3
Technological Educational Institution of Athens, Athens			 			3
Teddington, U.K.			 			3
Tel Aviv University, Tel Aviv 69978, Israel			Tel Aviv University			3
Telecom ParisTech, LTCI CNRS, Paris, France 75013			 			3
Temple University, Philadelphia, USA 19122			 			3
Teradata, Hyderabad, India			 			3
Texas Instruments, Dallas			 			3
Texas Medical Center			 			3
Texas Southern University			 			3
Texas State University, San Marcos, TX, USA			 			3
Thales Communications, Colombes			 			3
Thales Research and Technology			 			3
The Australian National University, Canberra, Australia			Australian National University			3
The Chinese University of Hong Kong. yu@se.cuhk.edu.hk			Chinese University of Hong Kong			3
The City College of New York, CUNY, New York, USA			 			3
The City College of New York, New York, NY, USA			 			3
The George Washington University, Washington			George Washington University			3
The George Washington University, Washington, DC			George Washington University			3
The Hebrew University of Jerusalem, Israel			Hebrew University of Jerusalem			3
The Hebrew University of Jerusalem, Jerusalem			Hebrew University of Jerusalem			3
The Johns Hopkins University, Baltimore, MD			Johns Hopkins University			3
The Johns Hopkins University, Baltimore, MD, USA			Johns Hopkins University			3
The Key Laboratory of Computer Networks and Information Security, Ministry of Education, Xidian University, Xi'an 710071, China			Xidian University			3
The Key Laboratory of Embedded System and Service Computing, Ministry of Education, Department of Control Science and Engineering, Tongji University, Shanghai 201804, China			 			3
The Open University, Milton Keynes			 			3
The Open University,UK			 			3
The Pennsylvania State University, University Park, MD			Pennsylvania State University			3
The Technical University of Denmark			Technical University of Denmark			3
The Tor Project, Cambridge, MA, USA			 			3
The Univerisity of Texas at Austin, Austin			 			3
The University of Alabama, Tuscaloosa			 			3
The University of Arizona			University of Arizona			3
The University of Auckland, Auckland, New Zealand			The University of Auckland			3
The University of California, Riverside, CA			University of California, Riverside			3
The University of Dayton, Dayton			 			3
The University of Electro-Communications, 1-5-1, Chofugaoka, Chofu-Shi, Tokyo 182-8585, Japan			 			3
The University of Kansas, Lawrence, KS, USA			 			3
The University of Louisiana at Lafayette, LA			 			3
The University of Melbourne, Australia, Victoria, Australia			The University of Melbourne			3
The University of New South Wales, Sydney and NICTA			University of New South Wales			3
The University of North Carolina at Chapel Hill			University of North Carolina, Chapel Hill			3
The University of Notre Dame, South Bend, IN, USA			University of Notre Dame			3
The University of Nottingham, UK			The University of Nottingham			3
The University of Texas at Dallas, Richardson, TX, USA			 			3
The University of Texas at San Antonio, San Antonio			 			3
The University of Toronto, Toronto, ON, Canada			University of Toronto			3
The University of Utah, UT			University of Utah			3
The University of Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia			The University of Western Australia			3
The University of Western Australia, Perth, Australia			The University of Western Australia			3
The Weizmann Institute of Science			Weizmann Institute of Science			3
The Weizmann Institute of Science, Department of Computer Science and Applied Mathematics, Rehovot 76100, Israel			Weizmann Institute of Science			3
The Weizmann Institute of Science, Rehovot			Weizmann Institute of Science			3
Tianjin Key Laboratory for Advanced Signal Processing, Civil Aviation University of China, Tianjin, China			 			3
Tn), Italy			 			3
Tokai University			 			3
Tokyo Institute of Technology, Meguro-ku, Tokyo, Japan			Tokyo Institute of Technology			3
Tokyo Institute of Technology, Tokyo			Tokyo Institute of Technology			3
Tokyo Research Laboratory			 			3
Tokyo University of Agriculture and Technology, Koganeishi, Tokyo, Japan			 			3
Tokyo University of Science			 			3
Toshiba Corporation, Kawasaki, Japan			 			3
Tottori University, Koyama-Minami Tottori, Japan			 			3
Towson University, Towson, MD			 			3
Toyota Technological Institute, Chicago, Illinois			 			3
Trento), Italy			 			3
Trieste University, Trieste, Italy			 			3
Trinity College Dublin, Dublin			Trinity College Dublin			3
Trinity College Dublin, Dublin 2, Ireland			Trinity College Dublin			3
TrustSoft at the University of Oldenburg			 			3
Tsing Hua University, Hsinchu			 			3
Tsinghua National Laboratory for Information Science and Technology, Beijing			 			3
Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing 100084, China			Tsinghua University			3
Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing, China			Tsinghua University			3
Tsinghua Univ.			Tsinghua University			3
Tsinghua Univeristy, Beijing			 			3
Tsinghua University and Ministry of Education, Beijing			Tsinghua University			3
Tsinghua University, Beijing and Hong Kong University of Science and Technology, Hong Kong			Hong Kong University of Science and Technology			3
Tsinghua University, Beijing, PR China			Tsinghua University			3
Tsinghua University, Bejing, China			Tsinghua University			3
Tsinghua Unversity, Shenzhen, China			 			3
Tyndall Research Institute, Cork, Ireland			 			3
U. Lyon, CNRS, ENS Lyon, INRIA, UCBL), Lyon Cedex, France			 			3
U. of Washington			 			3
U.S. Census Bureau, Washington DC, DC, USA			 			3
U.S. Naval Postgraduate School, Monterey, CA			 			3
UAE University, Al-Ain			 			3
UC Berkeley, Berkeley			University of California, Berkeley			3
UC Berkeley, Berkeley, California			University of California, Berkeley			3
UC Berkeley, CA			University of California, Berkeley			3
UC San Diego, San Diego, CA			 			3
UC Santa Barbara, MAT			 			3
UC, Irvine, Irvine, CA, USA			 			3
UCI			 			3
UCL, London, UK			Université Catholique de Louvain			3
UCLA Compilers Group, Los Angeles, CA			University of California, Los Angeles			3
UCLA), CA			University of California, Los Angeles			3
UCLA, Los Angeles			University of California, Los Angeles			3
UCLA, USA			University of California, Los Angeles			3
UCSB			University of California, Santa Barbara			3
UCSB Four Eyes Lab, Santa Barbara			University of California, Santa Barbara			3
UCSB, CA			University of California, Santa Barbara			3
UCSC			 			3
UCSD, San Diego, USA			University of California, San Diego			3
UFRGS			 			3
UFRJ), Rio de Janeiro, Brazil 21945-970			 			3
UIC			University of Illinois, Chicago			3
UIUC, Urbana, IL			University of Illinois at Urbana-Champaign			3
ULB), Brussels, Belgium			Universite Libre de Bruxelles			3
UMBC, Baltimore, MD			 			3
UMBC, MD			 			3
UMR 7005, University of Strasbourg-CNRS), Pôle API, Bd Sébastien Brant, BP 10413, 67412 Illkirch, Cedex, France			 			3
UMR CNRS 8022), University of Lille 1, France and Institut TELECOM; TELECOM Lille 1, France			 			3
UMR7089 Laboratoire d'Informatique Algorithmique: Fondements et Applications			 			3
UNC-Charlotte, Charlotte, NC			University of North Carolina, Chapel Hill			3
UNED NLP & IR group, Madrid, Spain			 			3
UNED, Madrid, Spain			 			3
UPC)			 			3
UPMC), 4 Place Jussieu, 75252 Paris Cedex 05, France			 			3
US Department of Defense			 			3
USC Institute for Creative Technologies, Marina del Rey, CA			University of Southern California			3
UT Austin			University of Texas at Austin			3
UT-Austin, Austin, TX, USA			University of Texas at Austin			3
UW-Madison, Madison, WI, USA			 			3
Ubiquitous Knowledge Processing Lab, Computer Science Department, Technische Universität Darmstadt, Darmstadt, Germany			Technische Universität Darmstadt			3
Uludag University			 			3
Umea University			 			3
Umeå University and Algoryx Simulation, Umeå			 			3
Umeå University, Umeå			 			3
Univ of Minnesota, Twin cities, MN, USA			 			3
Univ of Southern California, Los Angeles, USA			 			3
Univ. Federal do Rio Grande do Sul, Porto Alegre			 			3
Univ. Of Oulu, Oulu, Finland			 			3
Univ. Paris Sud, France			 			3
Univ. Paris-Sud, Orsay, France			 			3
Univ. Utah, Salt Lake City			University of Utah			3
Univ. of Amsterdam, the Netherlands			University of Amsterdam			3
Univ. of Delaware, Newark, DE, USA			University of Delaware			3
Univ. of Freiburg, Dept. of Computer Science, Freiburg, Germany			 			3
Univ. of Hong Kong			University of Hong Kong			3
Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA			University of Illinois at Urbana-Champaign			3
Univ. of Massachusetts Amherst			University of Massachusetts, Amherst			3
Univ. of Massachusetts, Amherst, MA			University of Massachusetts, Amherst			3
Univ. of Technology Sydney, Australia			University of Technology, Sydney			3
Universidad Autonoma de Madrid, Madrid			 			3
Universidad Autonóma de Madrid, Madrid, Spain			 			3
Universidad Carlos III de Madrid, Leganés			 			3
Universidad Carlos III of Madrid			 			3
Universidad Miguel Hernández			 			3
Universidad Nacional de Rosario			 			3
Universidad Nacional del Litoral			 			3
Universidad ORT Uruguay			 			3
Universidad Politecnica de Valencia, Valencia			 			3
Universidad Politécnica de Madrid, Dep. ICS, EUIT Telecomunicación, Ctra. Valencia, km. 7, 28031 Madrid, Spain			 			3
Universidad de Alcala, Spain			 			3
Universidad de Cantabria, Santander			 			3
Universidad de Castilla-La Mancha			 			3
Universidad de La Laguna			 			3
Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria			 			3
Universidad de Sonora			 			3
Universidad de la República			 			3
Universidade Estadual de Londrina, Departamento de Engenharia Elétrica, Caixa Postal 6025, Londrina, PR 86051-980, Brazil			 			3
Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brasil			 			3
Universidade da Beira Interior, Covilhã, Portugal			 			3
Universidade da Coruña, Coruña, Spain			 			3
Universidade da Coruñza, A Coruña, Spain			 			3
Universiry of Illinois at Urbana-Champaign, Urbana, IL, USA			 			3
Universit`a Ca' Foscari", Italy			 			3
Universita Roma Tre, Italy			 			3
Universita degli studi di Milano Bicocca, Italy			 			3
Universita di Udine, Italy			 			3
Universita' Ca' Foscari, Venice, Italy			 			3
Universitat Jaume I, Castellón de la Plana, Spain			 			3
Universitat Oberta de Catalunya			 			3
Universitat Politècnica de Catalonia and Barcelona Supercomputing Center, Barcelona			 			3
Universitat Politècnica de Catalunya, Barcelona Supercomputing Center, Barcelona			Universitat Politècnica de Catalunya			3
Universitat Politècnica de Catalunya, Spain			Universitat Politècnica de Catalunya			3
Universitat Ramon Llull, Barcelona, Spain			 			3
Universitat Rovira i Virgili			 			3
Universitat de les Illes Balears			 			3
Universite catholique de Louvain, Louvain-la-Neuve, Belgium			 			3
Universite de Technologie de Compiegne, Laboratoire Heudiasyc UMR CNRS 6599, Compiegne, France			 			3
Universiteit Utrecht			 			3
University Bordeaux, Talence, France			 			3
University British Columbia, Vancouver			University of British Columbia			3
University College Cork, Cork			 			3
University College of London, London, United Kingdom			UCL			3
University Corporation for Atmospheric Research			 			3
University Karlsruhe, Karlsruhe, Germany			 			3
University Magna Græ cia of Catanzaro, Italy			 			3
University Medical Center St Radboud Nijmegen			 			3
University Mediterranea de Reggio Calabria, Reggio Calabria			 			3
University Mediterranea of Reggio Calabria, Reggio Calabria, Italy			 			3
University Valachia Targoviste			 			3
University of  Calabria, Italy			 			3
University of A Coruña, Department of Computer Science, A Coruña, Spain			 			3
University of Aberdeen, Aberdeen, U.K.			 			3
University of Albany---SUNY, Albany, NY			 			3
University of Alberta, Dept. of Computing Science			University of Alberta			3
University of Alberta, Edmonton, AL, Canada			University of Alberta			3
University of Alicante, San Vicente del Raspeig			 			3
University of Amsterdam, Amsterdam			University of Amsterdam			3
University of Antwerp, Belgium			University of Antwerp			3
University of Antwerp, Prinsstraat, Antwerpen, Belgium			University of Antwerp			3
University of Arkansas at Little Rock			 			3
University of Arkansas, Fayetteville			 			3
University of Auckland, Auckland			The University of Auckland			3
University of Bari , Bari, Italy			 			3
University of Bari Aldo Moro			 			3
University of Beira Interior			 			3
University of Bergen and Molde University College, Norway			 			3
University of Bonn, Germany			 			3
University of Bordeaux 1			 			3
University of Bordeaux, Bordeaux, France			 			3
University of Bourgogne, Dijon, France			 			3
University of Brasilia, Brasilia			 			3
University of British Columbia, Vancouver BC, Canada			University of British Columbia			3
University of British Columbia, Vancouver, B.C.			University of British Columbia			3
University of British Columbia, Vancouver, B.C. Canada			University of British Columbia			3
University of Budapest)			 			3
University of Calgary, 2500 University Drive NW, Calgary, Alberta, T2N 1N4, Canada			University of Calgary			3
University of Calgary, Calgary, AB, CAN			University of Calgary			3
University of California - Santa Cruz			University of California, Santa Cruz			3
University of California Berkeley, Berkeley, CA			University of California, Berkeley			3
University of California Irvine UCI			University of California, Irvine			3
University of California Los Angeles, Los Angeles			University of California, Los Angeles			3
University of California Los Angeles, Los Angeles, CA			University of California, Los Angeles			3
University of California Los Angeles, Los Angeles, CA, USA			University of California, Los Angeles			3
University of California San Diego, CA			University of California, San Diego			3
University of California San Diego, La Jolla			University of California, San Diego			3
University of California at Berkeley, Berkeley, USA			University of California, Berkeley			3
University of California at Santa Barbara, CA			University of California, Santa Barbara			3
University of California, Berkeley Berkeley, CA			University of California, Berkeley			3
University of California, Berkeley and Intel Research, Berkeley			University of California, Berkeley			3
University of California, Davis, CA, USA			University of California, Davis			3
University of California, Los Angeles and Walt Disney Animation Studios			University of California, Los Angeles			3
University of California, Los Angeles, Los Angeles, USA			University of California, Los Angeles			3
University of California, Santa Barbara, SANTA BARBARA, CA, USA			University of California, Santa Barbara			3
University of California, Santa Cruz Santa Cruz, CA			University of California, Santa Cruz			3
University of California, Santa Cruz, Santa Cruz, California			University of California, Santa Cruz			3
University of California, Santa Cruz, USA			University of California, Santa Cruz			3
University of California---Berkeley, Berkeley, California			University of California, Berkeley			3
University of California: Riverside			 			3
University of California: Riverside, Riverside, CA			 			3
University of Cambridge Computer Laboratory, Cambridge, UK			University of Cambridge			3
University of Cambridge, Cambridge, CB2 1PZ, UK			University of Cambridge			3
University of Cambridge, Cambridge, England			University of Cambridge			3
University of Cambridge, Cambridge, U. K.			University of Cambridge			3
University of Cambridge, England			University of Cambridge			3
University of Campinas, Brazil			 			3
University of Campinas, Campinas			 			3
University of Campinas, Campinas, SP, Brazil			 			3
University of Cantabria, Santander			 			3
University of Cape Town, Rondebosch, South Africa			 			3
University of Central Greece			 			3
University of Coimbra, Coimbra			 			3
University of Cologne			 			3
University of Colombo, Colombo, Sri Lanka			 			3
University of Connecticut Health Center			 			3
University of Connecticut, USA			 			3
University of Crete, Greece			 			3
University of Cyprus, Nicosia			 			3
University of Cyprus, P.O. Box 20537, 1678 Nicosia, Cyprus			 			3
University of Dayton, Dayton, OH			 			3
University of Debrecen			 			3
University of Delaware, Newark, Delaware			University of Delaware			3
University of Dublin, Dublin, Ireland			 			3
University of Dundee, Dundee, Scotland			 			3
University of Durham, Department of Computer Science, DH1 3LE, Durham, UK			 			3
University of East Anglia, Norwich, United Kingdom			 			3
University of Edinburgh, Edinburgh, Scotland Uk			University of Edinburgh			3
University of Edinburgh, United Kingdom			University of Edinburgh			3
University of Erlangen, Erlangen			 			3
University of Erlangen, Germany			 			3
University of Florence			 			3
University of Florida, Gainesville, FL, 32611 USA			University of Florida			3
University of Florida, Gainesville, Gainesville, FL			University of Florida			3
University of Florida, USA			University of Florida			3
University of Ghana			 			3
University of Glasgow, 18 Lilybank Gardens, Glasgow, United Kingdom			University of Glasgow			3
University of Glasgow, Glasgow			University of Glasgow			3
University of Grenoble			 			3
University of Grenoble, Grenoble, France			 			3
University of Groningen, Netherlands			 			3
University of Groningen, Netherlands, Netherlands			 			3
University of Groningen, the Netherlands			 			3
University of Guelph, Guelph			 			3
University of Hamburg			 			3
University of Heidelberg			 			3
University of Hertfordshire, Hatfield, United Kingdom			 			3
University of Houston, Houston, Texas, USA			 			3
University of Illinois Chicago, Chicago, IL, USA			University of Illinois, Chicago			3
University of Illinois Urbana-Champaign			University of Illinois at Urbana-Champaign			3
University of Illinois at Chicago, SEO, Chicago IL			University of Illinois, Chicago			3
University of Illinois at Chicago, USA			University of Illinois, Chicago			3
University of Illinois at Springfield			 			3
University of Illinois at Urbana Champaign, Champaign, USA			University of Illinois at Urbana-Champaign			3
University of Illinois at Urbana--Champaign			University of Illinois at Urbana-Champaign			3
University of Illinois at Urbana-Champaign, Champaign, USA			University of Illinois at Urbana-Champaign			3
University of Illinois at Urbana-Champaign, Urbana IL			University of Illinois at Urbana-Champaign			3
University of Illinois, UC			 			3
University of Illinois, USA			 			3
University of Illinois, Urbana Champaign			University of Illinois at Urbana-Champaign			3
University of Illinois, Urbana Champaign, USA			University of Illinois at Urbana-Champaign			3
University of Illinois-UC, Urbana, IL			 			3
University of International Relations			 			3
University of Jinan			 			3
University of Joensuu			 			3
University of Karlsruhe, Karlsruhe, Germany			 			3
University of Klagenfurt, Austria, Department of Business Informatics and Application Systems			 			3
University of Kobe, Kobe, Japan			 			3
University of KwaZulu-Natal, Durban, South Africa			 			3
University of Kwazulu Natal			 			3
University of La Réunion			 			3
University of Leeds, Leeds			University of Leeds			3
University of Leicester, Leicester, United Kingdom			 			3
University of Leipzig, Germany			 			3
University of Lille, France			 			3
University of Lisbon, Lisboa, Portugal			 			3
University of Lisbon, Lisbon, Portugal			 			3
University of Liège, Liège, Belgium			 			3
University of London, UK			Kings College London			3
University of Lugano			 			3
University of Lyon 2, Bron Cedex, France			 			3
University of Macau, Macau, Macao			 			3
University of Madeira, Funchal, Portugal			 			3
University of Malaga, Malaga, Spain			 			3
University of Malaga, Spain			 			3
University of Malta			 			3
University of Manitoba, Winnipeg, Canada			 			3
University of Maryland - College Park, College Park, MD, USA			University of Maryland			3
University of Maryland, Department of Computer Science, A.V. Williams Building, 20742, College Park, MD, USA			University of Maryland			3
University of Massachusetts Amherst, Amherst, USA			University of Massachusetts, Amherst			3
University of Massachusetts Lowell, Lowell, MA, USA			University of Massachusetts, Amherst			3
University of Massachusetts at Boston, 02125, USA			University of Massachusetts, Amherst			3
University of Massachusetts, Amherst, Massachusetts			University of Massachusetts, Amherst			3
University of Massachusetts: Amherst			University of Massachusetts, Amherst			3
University of Melbourne, Melbourne			The University of Melbourne			3
University of Messina, Sicily			 			3
University of Miami, Department of Electrical and Computer Engineering, 1251 Memorial Drive, 33124, Coral Gables, FL, USA			 			3
University of Michigan School of Information			University of Michigan			3
University of Milan, Milano			 			3
University of Milano Bicocca, Department of Informatics, Systems and Communication, viale Sarca 336, 20126, Italy			 			3
University of Milano-Bicocca, Milan, Italy			 			3
University of Minnesota - Twin Cities			University of Minnesota			3
University of Minnesota at Twin Cities, Minneapolis			University of Minnesota			3
University of Minnesota, Minneapolis, USA			University of Minnesota			3
University of Minnesota, St. Paul, MN, USA			University of Minnesota			3
University of Minnesota, Twin Cities , Minnesota, USA			University of Minnesota			3
University of Minnesota, Twin Cities, MN, USA			University of Minnesota			3
University of Minnesota, Twin Cities, Minneapolis, MN, USA			University of Minnesota			3
University of Minnesota---Twin Cities			University of Minnesota			3
University of Missouri-Columbia			University of Missouri			3
University of Missouri-Kansas City, Kansas City			University of Missouri			3
University of Modena and Reggio Emilia, Italy			 			3
University of Modena and Reggio Emilia, Italy, Modena, Italy			 			3
University of Montreal, Montreal, Canada			 			3
University of Montreal, Quebec, Canada			 			3
University of Montreal, succ. Centre-ville, Montreal, Quebec, Canada			 			3
University of Murcia			 			3
University of Murcia, Murcia, Spain			 			3
University of Namur, Belgium			 			3
University of Napoli, Napoli			 			3
University of Napoli, Napoli, Italy			 			3
University of Nebraska - Lincoln, Lincoln, Nebraska			 			3
University of Nebraska - Lincoln, USA			 			3
University of Nebraska at Omaha, Omaha, NE, USA			 			3
University of Nebraska, Lincoln, Nebraska			 			3
University of Neuchâel, Switzerland			 			3
University of New Hampshire, Durham, NH			 			3
University of New Mexico, USA			 			3
University of New South Wales and NICTA, Sydney			University of New South Wales			3
University of New South Wales, Sydney and NICTA			University of New South Wales			3
University of New South Wales, Sydney, NSW, Australia			University of New South Wales			3
University of Newcastle, Australia, Newcastle			University of Newcastle			3
University of Newcastle, Newcastle			University of Newcastle			3
University of Newcastle, Newcastle, NSW, Australia			University of Newcastle			3
University of Niš, Serbia			 			3
University of North Carolina			 			3
University of North Carolina at Chapel Hill, Chapel Hill, N. Carolina, USA			University of North Carolina, Chapel Hill			3
University of North Carolina, Wilmington			 			3
University of North Carolina: Chapel Hill, Chapel Hill, NC			 			3
University of Orléans			 			3
University of Oslo / Simula, Oslo, Norway			University of Oslo			3
University of Oslo, Oslo			University of Oslo			3
University of Ottawa, Ottawa, CA			 			3
University of Padova			 			3
University of Paris-Sud and INRIA, Orsay, France			 			3
University of Patras, Patras, Greece			 			3
University of Patras, Rio, Greece			 			3
University of Pennsylvania, Pennsylvania			University of Pennsylvania			3
University of Pittsburgh. Pittsburgh, PA			University of Pittsburgh			3
University of Porto, Porto, Portugal			 			3
University of Potsdam, Potsdam			 			3
University of Pretoria, Pretoria, South Africa			 			3
University of Prince Edward Island			 			3
University of Queensland, Brisbane St Lucia			The University of Queensland			3
University of Reading, Reading, UK			 			3
University of Regensburg			 			3
University of Roma Tor Vergata, Roma, Italy			 			3
University of Rome "Sapienza" Rome, Italy			 			3
University of Salerno, Fisciano, Italy			 			3
University of Salerno, Italy			 			3
University of Salford, UK			 			3
University of Salzburg			 			3
University of Salzburg, Salzburg, Austria			 			3
University of Santiago de Compostela, Santiago de Compostela			 			3
University of Santiago de Compostela, Spain			 			3
University of Science and Technology of China, Hefei 230027, PR China			University of Science and Technology of China			3
University of Science and Technology of China, Hefei, P.R. China			University of Science and Technology of China			3
University of Sevilla, Sevilla			 			3
University of Sheffield, Portobello, Regent Court, Sheffield			The University of Sheffield			3
University of Sheffield, Sheffield, UK			The University of Sheffield			3
University of Siena, Siena			 			3
University of South-Brittany, Vannes, France			 			3
University of Southampton, UK			University of Southampton			3
University of Southern California, Information Sciences Institute, Marina Del Rey, CA			University of Southern California			3
University of Southern California, Information Sciences Institute, Marina del Rey, California			University of Southern California			3
University of Southern California, Los Angeles, CA 90089, United States			University of Southern California			3
University of Southern California, Los Angeles, USA			University of Southern California			3
University of Southern, California			University of Southern California			3
University of St Andrews			 			3
University of St. Andrews			 			3
University of Sunderland, Sunderland, United Kingdom			 			3
University of Sussex, Falmer, Brighton, UK			 			3
University of Sussex, UK			 			3
University of Sydney NSW, Australia			The University of Sydney			3
University of São Paulo - USP, São Carlos, Brazil			 			3
University of São Paulo, Brazil, São Paulo, SP, Brazil			 			3
University of Technology Eindhoven			 			3
University of Technology Sydney, Australia, Sydney, Australia			University of Technology, Sydney			3
University of Technology Sydney, Sydney, Australia			University of Technology, Sydney			3
University of Technology, Sydney, Sydney, Australia			University of Technology, Sydney			3
University of Tehran			 			3
University of Tennessee, Knoxville, Knoxville			University of Tennessee			3
University of Tennessee, Knoxville, TN			University of Tennessee			3
University of Tennessee, Knoxville, TN, USA			University of Tennessee			3
University of Texas Pan American			 			3
University of Texas at Arlington, TX			University of Texas, Arlington			3
University of Texas at San Antonio, One UTSA Circle, 78249-1644, USA			 			3
University of Texas at San Antonio, San Antonio, USA			 			3
University of Tokyo, Hongo, Bunkyo-ku, Tokyo, Japan			The University of Tokyo			3
University of Toronto, ON, Canada			University of Toronto			3
University of Toronto, Toronto, Canada M5S 3G4			University of Toronto			3
University of Toulouse, France			 			3
University of Trento, Italy, Trento, Italy			 			3
University of Trento, Rovereto, Italy			 			3
University of Tulsa, Tulsa, OK, USA			 			3
University of Tübingen, Wilhelmstr, Tübingen, Germany			University of Tübingen			3
University of Ulster, Newtownabbey			 			3
University of Waikato Hamilton, Hamilton, New Zealand			University of Waikato			3
University of Warwick, Coventry, UK			The University of Warwick			3
University of Warwick, UK			The University of Warwick			3
University of Washington, Bothell			University of Washington			3
University of Washington, Seattle, USA 98195			University of Washington			3
University of Waterloo, Waterloo, ON			University of Waterloo			3
University of Western Macedonia			 			3
University of Western Ontario, London			The University of Western Ontario			3
University of Western Ontario, London, Ontario, Canada			The University of Western Ontario			3
University of Western Sydney			 			3
University of Winnipeg			 			3
University of Wisconsin Madison, Madison			University of Wisconsin-Madison			3
University of Wisconsin at Madison, Madison, WI, USA			University of Wisconsin-Madison			3
University of Wisconsin--Madison			University of Wisconsin-Madison			3
University of Wisconsin-Madison, Madison, Wisconsin			University of Wisconsin-Madison			3
University of Wisconsin-Milwaukee			 			3
University of Wollongong, Wollongong			 			3
University of Wolverhampton, Wolverhampton, United Kingdom			 			3
University of Wolverhampton, Wulfruna Street, Wolverhampton WV1 1LY, UK			 			3
University of Würzburg, Institute of Computer Science, Germany			 			3
University of York, York, UK			University of York			3
University of Zagreb			 			3
University of Zürich			 			3
University of the Basque Country, Spain			 			3
University of the Littoral Opal Coast			 			3
University of the West of England, Frenchay			 			3
Università degli Studi del Sannio			 			3
Università degli Studi dell'Insubria Varese e Como			 			3
Università degli Studi di Messina			 			3
Università degli Studi di Milano, Milano, MI, Italy			 			3
Università degli Studi di Perugia, Perugia			 			3
Università degli Studi di Siena, Siena, Italy			 			3
Università dell' Aquila, L'Aquila			 			3
Università di Catania, Catania, Italy			 			3
Università di Milano, Crema - Italy			 			3
Università di Padova, Padova, Italy			 			3
Università di Pisa, Italy			 			3
Università di Torino, Torino			 			3
Università di Verona, Verona, Italy			 			3
Universitá "Federico II" Via Cintia, Napoli, Italy			 			3
Universität Hannover, Hannover, Germany			 			3
Universität Passau, Passau, Germany			 			3
Universität Stuttgart, Germany			Universität Stuttgart			3
Universität Stuttgart, Stuttgart, Germany			Universität Stuttgart			3
Université Catholique de Louvain, Belgium			Université Catholique de Louvain			3
Université Libre de Bruxelles, Bruxelles			 			3
Université Paris Dauphine - Lamsade, Place du Maréchal de Lattre de Tassigny, 75775 Paris cedex 16, France			 			3
Université Paris East			 			3
Université Paris-Est, LEPSIS, INRETS-LCPC, Paris, France 75015			 			3
Université Paris-Est, Laboratoire d'Informatique Gaspard Monge, Equipe A3SI, UMR 8049 UPEMLV/ESIEE/CNRS,			 			3
Université Paris-Sud, Orsay, France			 			3
Université Pierre et Marie Curie-Paris, Paris, France			 			3
Université catholique de Louvain, Louvain-La-Neuve, Belgium			Université Catholique de Louvain			3
Université de Bourgogne, Le2i - CNRS UMR 5158, Route des plaines de l'Yonne, BP 16, 89010 Auxerre, France			 			3
Université de Grenoble			 			3
Université de Lyon, CNRS, INSA-Lyon, LIRIS, UMR5205, 20 av. Albert Einstein, Villeurbanne F-69621, France			 			3
Université de Lyon, CNRS, Université Lyon 1, LIRIS UMR5205, Villeurbanne, France			 			3
Université de Lyon, Université Lyon 2, LIRIS, UMR5205, F-69676, France			 			3
Université de Montréal, Montréal, Canada			Université de Montréal			3
Université de Montréal, Montréal, Québec			Université de Montréal			3
Université de Nantes			 			3
Université de Provence, Marseille Cedex, France			 			3
Université de Rouen, Saint Etienne du Rouvray, France			 			3
Université de Strasbourg, Illkirch			 			3
Université de Technologie Belfort-Montbeliard			 			3
Université de Technologie de Compiegne			 			3
Université de Technologie de Compiègne, Compiègne cedex, France			 			3
Université de Tours Francois Rabelais			 			3
Urologic Oncology Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA			 			3
Utrecht University, Utrecht, The Netherlands			Utrecht University			3
VISUS, Universität Stuttgart			Universität Stuttgart			3
VMware			 			3
VRVis Research Center, Austria			 			3
VU University, Amsterdam, The Netherlands			University of Amsterdam			3
Victoria University, Australia			 			3
Video Processing and Understanding Lab, Universidad Autónoma de Madrid, Madrid, Spain			 			3
Vienna Tech.			 			3
Vilnius University, Lithuania			 			3
Virginia Polytechnic Institute and State University, Blacksburg, Virginia			Virginia Polytechnic Institute			3
Virginia Polytechnic and State University, Blacksburg			 			3
Virginia Tech), Blacksburg, Virginia, USA			Virginia Polytechnic Institute			3
Virginia Tech, Blacksburg, Virginia, USA			Virginia Polytechnic Institute			3
Virginia Tech, Falls Church			Virginia Polytechnic Institute			3
Virtual Engineering Centre, Queen's University Belfast, Belfast BT9 5HN, UK			Queen's University			3
VisLab, Università degli Studi di Parma			 			3
Vision Research Laboratory, Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA			University of California, Santa Barbara			3
Vision Systems Group, Dublin City University, Dublin 9, Ireland			 			3
Vision and Image Processing Lab, Systems Design Engineering, University of Waterloo, 200 University Ave. West, Waterloo, Ontario, Canada N2L 3G1			University of Waterloo			3
Vision and Research Laboratory, Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA			University of California, Santa Barbara			3
